simplification,nbr_occurences_simpl,obsolete,v_glass_beads,nbr_occurences_v_glass_beads
planches de sapin de 9 à 10 pieds à 15 sous,1,non,out,820766
planches de sapin de 9 à 10-11 pieds,1,non,out,820766
planches de sapin de 9 à 11 pieds,5,non,out,820766
planches de sapin de 9 à 12 pieds,2,non,out,820766
planches de sapin de 9 à 13 pieds,1,non,out,820766
planches de sapin de 9 à 15 pieds,1,non,out,820766
planches de sapin de 9 pieds,41,non,out,820766
planches de sapin de 9 pieds de longueur,2,non,out,820766
"planches de sapin de 9 pieds et de 1,25 pouce d'épaisseur",1,non,out,820766
planches de sapin de Coperwick,0,non,out,820766
planches de sapin de Norvège,66,non,out,820766
planches de sapin de Poméranie,18,non,out,820766
planches de sapin de Prusse,0,non,out,820766
planches de sapin de rebut,6,non,out,820766
planches de sapin de rebut de 75 pieds,1,non,out,820766
planches de sapin demi planches,8,non,out,820766
planches de sapin duicroco,1,non,out,820766
planches de sapin en bouts,7,non,,37440
planches de sapin et rebut,2,non,out,820766
planches de sapin fendues,2,non,out,820766
planches de sapin grand,8,non,out,820766
planches de sapin moyennes,1,non,,37440
planches de sapin pour bordage,1,non,out,820766
planches de sapin pour grenier,5,non,out,820766
planches de sapin rebut,3,non,out,820766
planches de sapin rebut de 10 pieds,1,non,out,820766
planches de sapin rebut de 26 pieds,1,non,out,820766
planches de sapin refendues,4,non,out,820766
planches de sapin resciées,3,non,out,820766
planches de sapin rouge,2,non,out,820766
planches de sapin rouge de 9 pieds,0,non,out,820766
planches de sapin vieilles,1,non,,37440
planches de serva,1,non,out,820766
planches de Suisse,1,non,out,820766
planches de vathout,51,non,out,820766
planches de wagheschot,89,non,out,820766
planches demies,2,oui,,37440
planches dites feuillet,2,non,out,820766
planches dites feuillet et quartiers,3,non,out,820766
planches dites genoux de bateaux,32,non,out,820766
planches dites Noordschedelen de 11 à 12 pieds,2,non,out,820766
planches dites Noordschedelen de 15 à 16 pieds,3,non,out,820766
planches du Danemark,3,non,out,820766
planches en faux,2,non,out,820766
planches en lest,1,non,,37440
planches en poutres,2,non,out,820766
planches et poutrelles de bois de passementerie,3,non,out,820766
planches et rouleau en laiton,1,non,,37440
planches fendues,1,non,out,820766
planches laquées,1,non,out,820766
planches lourdes,64,non,out,820766
planches moyennes,1,non,out,820766
planches petites,3,non,out,820766
planches petites de sapin,12,non,out,820766
planches pour faux,1,non,out,820766
planches pour grenier,5,non,out,820766
planches pour grenier de 16 pieds,1,non,,37440
planches pour grenier de 18 pieds,1,non,,37440
planches pour grenier de 27 pieds,1,non,,37440
planches pour grenier de 30 pieds,1,non,,37440
planches pour grenier de 34 pieds,1,non,,37440
planches pour grenier de 36 pieds,1,non,,37440
planches refendues,2,non,out,820766
planches sciées,8,non,out,820766
planches sciées de long,7,non,out,820766
plançons,5,non,out,820766
plançons courbes,1,non,out,820766
plançons de chêne,2,non,out,820766
plantes d'asperges et jets de houblon,6,non,out,820766
plantes de jasmin,5,non,out,820766
plantes de romarin,24,non,out,820766
plantes diverses,22,non,out,820766
plantes herbes racines etc.,23,non,out,820766
plants ???,1,non,out,820766
plants d'arbres,49,non,out,820766
plants d'arbres à fruits,3,non,out,820766
plants d'argent,1,non,out,820766
plants d'artichauts,2,non,out,820766
plants d'asperges,23,non,out,820766
plants d'oignon,3,non,out,820766
plants d'oignons,1,non,out,820766
plants d'oranger,60,non,out,820766
plants de bois,1,non,out,820766
plants de bois sauvages,1,non,out,820766
plants de cédrat,3,non,out,820766
plants de chinois et fleurs,1,non,out,820766
plants de choux,1,non,out,820766
plants de citronnier,8,non,out,820766
plants de fleurs,31,non,out,820766
plants de jardin,1,non,out,820766
plants de jasmin,9,non,out,820766
plants de mûriers,22,non,out,820766
plants de rouge d'Espagne,1,non,out,820766
plants de tabac,5,non,out,820766
plants de vigne,103,non,out,820766
plaques,955,non,out,820766
plaques de bois,1,non,out,820766
plaques de cheminée,5,non,out,820766
plaques de cheminées en fer,4,non,out,820766
plaques de cornes,1,non,out,820766
plaques de cuivre,44,non,out,820766
plaques de cuivre rouge,2,non,out,820766
plaques de fer,55,non,out,820766
plaques de fer battu,1,non,out,820766
plaques de fer de fonte,2,non,out,820766
plaques de four,1,non,out,820766
plaques en tôle,1,non,out,820766
plaques et ouvrages de cuivre,9,non,,37440
plastic de soie,1,non,,37440
plat de grès,17,non,out,820766
plat de terre anglais,1,non,,37440
plateaux,4,non,out,820766
plateaux argentés,1,non,out,820766
plateaux de bois,3,non,out,820766
plateaux de bois pour peser,1,non,out,820766
plateaux de bordure de cuivre,1,non,out,820766
plateaux de cuivre,3,non,out,820766
plateaux de fer,1,non,out,820766
plateaux de fer vernis,2,non,out,820766
plateaux de noyer,1,non,out,820766
plateaux pour fléaux,1,non,out,820766
plateaux vernis,1,non,out,820766
plateaux vernis et de cote,1,non,out,820766
plates de cuivre,11,non,out,820766
plates de cuivre ciselées et gravées,2,non,out,820766
plates de cuivre jaune,23,non,out,820766
plates de cuivre rouge,87,non,out,820766
plates de fer,20,non,out,820766
platies,2,non,out,820766
platille,344,non,out,820766
platille de lin,7,non,out,820766
platille de lin de Silésie,3,non,out,820766
platille de retour,1,non,,37440
platille de retour faute de vente,1,oui,out,820766
platille des Indes,6,non,out,820766
platille pour Guinée,1,non,out,820766
platille roussie,1,non,out,820766
platines,4,non,out,820766
platines à cassave,13,non,out,820766
platines à verdet,1,non,out,820766
platines de cuivre,107,non,out,820766
platines de cuivre et plaques de cuivre,0,non,out,820766
platines de fer,11,non,out,820766
platines de fer coulé de fonte,1,non,out,820766
platines de fer-blanc,1,non,out,820766
platines de ferrure,2,non,out,820766
platines de fusils,10,non,out,820766
platines en lingots,2,non,out,820766
platines minerai,1,non,out,820766
platon,1,non,,37440
plâtre,561,non,out,820766
plâtre brut,1,non,out,820766
plâtre calciné ou brut,2,non,out,820766
plâtre calciné ou moulé préparé,2,non,out,820766
plâtre calciné ou moulé soit préparé,4,non,out,820766
plâtre de pierres,1,non,out,820766
plâtre et pierres ditto,118,non,out,820766
plâtre et pierres ditto par livre,10,non,out,820766
plâtre gris,2,non,out,820766
plâtre moulu,2,non,out,820766
plâtre moulu soit préparé,1,non,out,820766
plats d'étain,3,non,,37440
plats de boire,1,non,out,820766
plats de bois,8,non,out,820766
plats de d'étain,1,non,out,820766
plats de faïence,1,non,out,820766
plats de fer,15,non,out,820766
plats de sapin,1,non,out,820766
plats et pots d'étain,1,non,out,820766
plawens,4,non,out,820766
plawens ou codde,11,non,out,820766
plesny,1,non,out,820766
pleviers,2,non,out,820766
plies sèches,4,non,out,820766
plocq,105,non,out,820766
plomb,486,non,out,820766
plomb à gibier,8,non,out,820766
plomb à tirer,2,oui,out,820766
plomb argenté,1,non,out,820766
plomb battu ou laminé,7,non,out,820766
plomb brut,15,non,out,820766
plomb brut en pain,1,non,out,820766
plomb de caisse de thé,1,non,out,820766
plomb de chasse,78,non,out,820766
plomb de cuivre battu,4,non,out,820766
plomb de pêche,1,non,out,820766
plomb de soude,1,oui,out,820766
plomb de soudes,1,non,,37440
plomb de toutes sortes,7,oui,,37440
plomb divers,30,oui,out,820766
plomb en barre,22,oui,out,820766
plomb en barres,22,non,,37440
plomb en bloc,127,non,out,820766
plomb en feuilles,5,non,out,820766
plomb en grenaille,948,non,out,820766
plomb en lingot,8,non,out,820766
plomb en masse,1,non,out,820766
plomb en pain,20,non,out,820766
plomb en plaque,17,non,out,820766
plomb en poids,1,non,out,820766
plomb en rolles et travaillé,128,non,out,820766
plomb en rouleau,107,non,out,820766
plomb en rouleau et en tables,2,non,out,820766
plomb en rouleau lingots,4,non,out,820766
plomb en rouleau lingots etc.,2,non,out,820766
plomb en rouleau lingots tables,1,non,out,820766
plomb en saumon,1342,non,out,820766
plomb en saumon d'Allemagne,2,non,out,820766
plomb en saumon et grenaille,9,non,,37440
plomb en saumon et rouleau,6,non,,37440
plomb en saumon et table,6,non,,37440
plomb en saumon pour grenaille,1,non,,37440
plomb en saumon pour table,3,non,,37440
plomb en saumon rouleau,2,oui,,37440
plomb en saumon salé,1,non,,37440
plomb et toutenague,93,non,out,820766
plomb giboyer,1,oui,out,820766
plomb laminé,49,non,out,820766
plomb laminé rouleau,1,non,out,820766
plomb pour filet à pêcher,1,non,out,820766
plomb sable,0,non,out,820766
plomb thé,1,non,out,820766
plomb tuyaux d'orgues,2,non,out,820766
plomb vieux,34,non,out,820766
plombagine,4,non,out,820766
plumes,222,non,out,820766
plumes à cure-dents,15,non,out,820766
plumes à écrire,747,non,out,820766
plumes à écrire d'oie,3,non,out,820766
plumes à écrire et à lit,164,non,out,820766
plumes à écrire et à lit duvet et édredon,15,non,out,820766
plumes à écrire non travaillées,2,non,out,820766
plumes à lit,525,non,out,820766
plumes à lit brutes,1,non,out,820766
plumes à lit vives,119,non,out,820766
plumes à manchon,10,non,out,820766
plumes à phants,1,non,out,820766
plumes à plumet,1,non,out,820766
plumes à volant,14,non,out,820766
plumes apprêtées,3,non,out,820766
plumes apprêtées à écrire,18,non,out,820766
plumes apprêtées blanches de parure,2,non,out,820766
plumes apprêtées blanches grandes de parure,2,non,out,820766
plumes apprêtées d'autruche,357,non,out,820766
plumes apprêtées de coq,1,non,out,820766
plumes apprêtées de parure,2,non,out,820766
plumes apprêtées grandes de parure,2,non,out,820766
plumes apprêtées noires de parure,4,non,out,820766
plumes apprêtées petites de parure,2,non,out,820766
plumes blanches brutes de parure,2,non,out,820766
plumes blanches brutes grandes de parure,2,non,out,820766
plumes brutes,3,non,out,820766
plumes brutes à écrire,22,non,out,820766
plumes brutes à genice,4,non,out,820766
plumes brutes de parure,28,non,out,820766
plumes brutes grandes de parure,3,non,out,820766
plumes brutes noires de parure,4,non,out,820766
plumes brutes petites de parure,3,non,out,820766
plumes communes à lit,1,non,out,820766
plumes cordons gris et jaunes et rouges et à écrire,6,non,out,820766
plumes cordons jaunes à écrire,3,non,out,820766
plumes cordons rouges à écrire,3,non,out,820766
plumes d'aigledon,31,non,out,820766
plumes d'aiglon,5,non,out,820766
plumes d'aiglon en édredon,2,non,,37440
plumes d'autruche,203,non,out,820766
plumes d'autruche à écrire,1,non,out,820766
plumes d'autruche blanches,2,non,out,820766
plumes d'autruche brutes,184,non,out,820766
plumes d'autruche crues,35,non,out,820766
plumes d'autruche crues et noires,1,non,out,820766
plumes d'autruche et autres de parure,66,non,out,820766
plumes d'autruche et de vautour,11,non,out,820766
plumes d'autruche noires,2,non,out,820766
plumes d'édredon,25,non,out,820766
plumes d'oie,140,non,out,820766
plumes d'oie à lit,4,non,out,820766
plumes d'oiseaux,1,non,out,820766
plumes de coq,4,non,out,820766
plumes de duvet,3,non,,37440
plumes de lin,57,non,out,820766
plumes de poule,50,non,out,820766
plumes de soie,1,non,out,820766
plumes duvet,3,oui,out,820766
plumes en ???,1,non,out,820766
plumes idem,1,non,out,820766
plumes mortes,82,non,out,820766
plumes mortes à lit,2,non,out,820766
plumes noire,3,non,out,820766
plumes pour dévidoir,1,non,out,820766
plumes pour duvet,3,non,out,820766
plumes teintes,2,non,out,820766
plumes vives,2,non,out,820766
plumes vives à lit,2,non,out,820766
plumets,9,non,out,820766
plumets pour chapeaux,112,non,out,820766
plus,1,non,,37440
pluviers,1,non,out,820766
poches de peau,1,non,out,820766
poêles,4,non,out,820766
poêles à chaudron de fer,1,non,out,820766
poêles à chauffer,3,non,out,820766
poêles à feu,40,non,out,820766
poêles à frire,141,non,out,820766
poêles à frire de fer,162,non,out,820766
poêles à frire de fer battu,1,non,out,820766
poêles d'airain,1,non,out,820766
poêles de faïence,5,non,out,820766
poêles de fer,65,non,out,820766
poêles de fer à feu,4,non,out,820766
poêles de fer de fonte,1,non,out,820766
poêles de fer et leurs tuyaux,2,non,out,820766
poêles de feu à frire,1,non,out,820766
poêles de terre,1,non,out,820766
poêlons de cuivre,2,non,out,820766
poêlons de fer,1,non,out,820766
poids,7,non,out,820766
poids à peser,2,non,out,820766
poids de 28 ??? de Hollande,1,non,,37440
poids de fer,163,non,out,820766
poids de fer de fonte,1,non,out,820766
poids de fonde,1,non,out,820766
poids de plomb,1,non,out,820766
poignards et sabres de traite,1,non,out,820766
poignées d'épée d'argent,1,non,out,820766
poignées pour sabres,3,non,out,820766
poignets de chemise,3,non,out,820766
poil,140,non,out,820766
poil blanc,1,non,out,820766
poil brossiers et rognures,1,oui,out,820766
poil d'autruche en laine pour faire lisière,1,non,out,820766
poil d'élan et de lièvre,1,non,out,820766
poil d'Espagne d'argent,1,non,out,820766
poil de ???,1,non,out,820766
poil de bœuf,22,non,out,820766
poil de bœuf c'est de la laine,1,non,out,820766
poil de bœuf et de vache,6,non,out,820766
poil de bouc,2,non,out,820766
poil de carton,1,non,out,820766
poil de castor,43,non,out,820766
poil de castor et d'élan,2,non,out,820766
poil de chameau,110,non,out,820766
poil de chameau et de chèvre,49,non,out,820766
poil de chameau et de chèvre et de lièvre,13,non,out,820766
poil de chameau et de lièvre,4,non,out,820766
poil de cheval,1,non,out,820766
poil de chèvre,231,non,out,820766
poil de chèvre et de lapin et de lièvre,200,non,out,820766
poil de chèvre non filé,2,non,out,820766
poil de chèvre simple,17,non,out,820766
poil de chevreau,8,non,out,820766
poil de chevrotin,36,non,out,820766
poil de cochon,1,non,out,820766
poil de coton,1,non,out,820766
poil de laine,4,non,out,820766
poil de lapin,196,non,out,820766
poil de lapin et de lièvre,93,non,out,820766
poil de lièvre,37,non,out,820766
poil de loup,1,non,out,820766
poil de porcs,6,non,out,820766
poil de porcs et poil de sanglier,85,non,out,820766
poil de sanglier,107,non,out,820766
poil de vache,3,non,out,820766
poil et cheveux,40,non,out,820766
poil pour doublage,1,non,out,820766
poil propre à la chapellerie et à la filature,4,non,out,820766
poinade,2,non,out,820766
poinçon neuf et vide,1,non,out,820766
point d'argent et d'or,1,non,out,820766
point d'Espagne,1,non,out,820766
point d'Espagne d'argent,1,non,out,820766
point d'Espagne d'argent et d'or,3,non,out,820766
point d'Espagne d'or,3,non,out,820766
point d'Espagne et ruban or et argent,1,non,out,820766
point d'or,1,non,out,820766
point de Hongrie,27,non,out,820766
pointes de bâts,3,non,out,820766
pointes de bois,5,non,out,820766
pointes de bois pour bâts,6,non,out,820766
pointes de corne,1,non,out,820766
pointes de Hongrie,2,non,out,820766
pointes de queues de martre,3,non,out,820766
pointes pour bâtir de bois,1,non,out,820766
poireaux,3,non,out,820766
poireaux à planter,1,non,out,820766
poires,70,non,out,820766
poires de coing,15,non,out,820766
poires du bon chrétien,85,non,out,820766
poires du bon chrétien et de coing,3,non,out,820766
poires en pommes,3,non,out,820766
poires et pommes,4,non,out,820766
poires et pommes communes,135,non,out,820766
poires et pommes fraîches,80,non,out,820766
poires et pommes sèches,85,non,out,820766
poires fraîches,3,non,out,820766
poires sèches,8,non,out,820766
pois,249,non,out,820766
pois blancs,5,non,out,820766
pois carrés,3,non,,37440
pois chiches,45,non,out,820766
pois communs,127,non,out,820766
pois confits,1,non,out,820766
pois crus,2,non,out,820766
pois d'Espagne,33,non,out,820766
pois de Bourgogne,106,non,out,820766
pois de Grasse,1,non,out,820766
pois en gerbe,15,non,out,820766
pois et fève et haricot,2,non,out,820766
pois et fèves,8,non,out,820766
pois fayolles,2,oui,out,820766
pois haricots,1,oui,out,820766
pois pointus,5,non,,37440
pois secs,69,non,out,820766
pois secs et verts,1,non,out,820766
pois verts,111,non,out,820766
poisson,655,non,out,820766
poisson ???,7,non,out,820766
poisson anchois,38,non,out,820766
poisson blanc,1,non,out,820766
poisson blanc et petit,102,non,out,820766
poisson d'eau douce,24,non,out,820766
poisson d'eau douce frais,1,non,out,820766
poisson d'eau douce frais préparé,4,non,out,820766
poisson de mer,39,non,out,820766
poisson de mer 196 lignes,1,non,out,820766
poisson de mer de pêche française,5,non,out,820766
poisson de mer divers,9,non,out,820766
poisson de mer frais,10,non,out,820766
poisson de mer frais fumé salé ou sec,3,non,out,820766
poisson de mer frais salé et sec,1,non,out,820766
poisson de mer mariné à l'huile,7,non,out,820766
poisson de mer salé,2,non,out,820766
poisson de mer salé divers,0,non,out,820766
poisson de mer salé et mariné,19,non,out,820766
