simplification,nbr_occurences_simpl,coffee,obsolete,nbr_occurences_hamburg,nbr_occurences_coffee
pierres et terres à bâtir,1,Not coffee,non,442379,545139
pierres et terres servant aux arts et métiers,2,Not coffee,non,442379,545139
pierres façonnées d'architecte,1,Not coffee,non,442379,545139
pierres fausses,12,Not coffee,non,442379,545139
pierres fausses et fines,1,Not coffee,non,442379,545139
pierres fausses et montées,1,Not coffee,non,442379,545139
pierres fausses et pur métal,1,Not coffee,non,442379,545139
pierres fausses non montées,2,Not coffee,non,442379,545139
pierres ferrugineuses,4,Not coffee,non,442379,545139
pierres fines,1,Not coffee,non,442379,545139
pierres froides,2,Not coffee,non,442379,545139
pierres fusil,3,Not coffee,non,442379,545139
pierres jaunes,1,Not coffee,non,442379,545139
pierres lithographiques,3,Not coffee,non,442379,545139
pierres lithographiques et autres,3,Not coffee,non,442379,545139
pierres maguisses minérales pour la fabrique de Tournai,1,Not coffee,non,442379,545139
pierres manganèse,5,Not coffee,non,442379,545139
pierres marcassite,2,Not coffee,non,442379,545139
pierres meules,6,Not coffee,non,442379,545139
pierres minérales,2,Not coffee,non,442379,545139
pierres noires,32,Not coffee,non,442379,545139
pierres ponces,232,Not coffee,non,442379,545139
pierres pour faire sucre,2,Not coffee,non,442379,545139
pierres pour la bâtisse,9,Not coffee,non,442379,545139
pierres pour la fortification de la rade,1,,non,,9417
pierres pour la rade,3,,non,,9417
pierres pour les fortifications,1,,non,,9417
pierres pour les travaux du roi,1,,non,,9417
pierres pour piliers,1,Not coffee,non,442379,545139
pierres pourries,5,Not coffee,non,442379,545139
pierres serpentine,2,Not coffee,non,442379,545139
pierres taillées,15,Not coffee,non,442379,545139
pierres taillées à bâtir,1,Not coffee,non,442379,545139
pierres taillées en auge,2,Not coffee,non,442379,545139
pierres tendres,1,Not coffee,non,442379,545139
pierres toilées,0,Not coffee,oui,442379,545139
pierres travaillées,4,Not coffee,non,442379,545139
pierres travaillées en banc balcon goulots etc.,2,Not coffee,non,442379,545139
pierrestre,2,Not coffee,non,442379,545139
pierrette,2,Not coffee,non,442379,545139
pierreuve,1,Not coffee,non,442379,545139
pierrier,0,Not coffee,oui,442379,545139
pierrier de fer,0,Not coffee,oui,9794,545139
pierriers,20,Not coffee,non,442379,545139
pierriers de fer,13,Not coffee,non,9794,545139
pierriers de fonte,2,Not coffee,non,442379,545139
pierriers garnis de leurs boites,1,Not coffee,non,442379,545139
pigaras,1,Not coffee,non,442379,545139
pigeons,8,Not coffee,non,442379,545139
pigeons sauvages,1,Not coffee,non,442379,545139
pignes de fer à corde,1,Not coffee,non,442379,545139
pignons,25,Not coffee,non,442379,545139
pignons cassés,47,Not coffee,non,442379,545139
pignons d'épine,128,Not coffee,non,442379,545139
pignons d'Inde,43,Not coffee,non,442379,545139
pignons de pin,11,Not coffee,non,442379,545139
pigouilles,2,Not coffee,non,442379,545139
pigouilles de 11 à 15,2,Not coffee,non,442379,545139
piharge,4,Not coffee,non,442379,545139
piles de bois,1,Not coffee,non,442379,545139
piliers de frêne,1,,non,,9417
pilotis,2,Not coffee,non,442379,545139
pilules,1,Not coffee,non,442379,545139
pilules de Belloste,1,Not coffee,non,442379,545139
piment,412,Not coffee,non,442379,545139
piment des entrepôts,1,Not coffee,non,442379,545139
piment et poivre,83,Not coffee,non,2268,545139
pinasse,31,Not coffee,non,442379,545139
pince de fer,4,Not coffee,non,442379,545139
pinceaux,140,Not coffee,non,442379,545139
pinceaux ???,1,Not coffee,non,442379,545139
pinceaux à blanchir,1,Not coffee,non,442379,545139
pinceaux à dorer,1,Not coffee,non,442379,545139
pinceaux à goudron,5,Not coffee,non,442379,545139
pinceaux à goudronner,19,Not coffee,non,442379,545139
pinceaux à goudronnier,0,Not coffee,oui,442379,545139
pinceaux à peindre,3,Not coffee,non,442379,545139
pinceaux de fer,1,Not coffee,non,442379,545139
pincettes,1,Not coffee,non,442379,545139
pincettes de fer,1,Not coffee,non,442379,545139
pinche,1,Not coffee,non,442379,545139
pinchinat,32,Not coffee,non,442379,545139
pinchinat de laine,16,Not coffee,non,442379,545139
pinchinat gris,1,Not coffee,non,442379,545139
pinen,1,Not coffee,non,442379,545139
pinques,1,Not coffee,non,442379,545139
pioches de fer,3,Not coffee,non,442379,545139
pipes,12,Not coffee,non,442379,545139
pipes à cordée,1,Not coffee,non,442379,545139
pipes à cuivre,1,Not coffee,non,442379,545139
pipes à fumer,853,Not coffee,non,442379,545139
pipes à fumer ???? pour la Hollande,1,Not coffee,non,442379,545139
pipes à fumer de terre,5,Not coffee,non,442379,545139
pipes à fumer de terre cuite,22,Not coffee,non,442379,545139
pipes à fumer grosses,1,Not coffee,non,442379,545139
pipes à tabac,2,Not coffee,non,442379,545139
pipes cerclées de fer,1,Not coffee,non,442379,545139
pipes céréalier de fer,1,Not coffee,non,442379,545139
pipes de bois à fumer,1,Not coffee,non,442379,545139
pipes de side,1,Not coffee,oui,442379,545139
pipes de terre,7,Not coffee,non,442379,545139
pipes de terre cuite,8,Not coffee,non,442379,545139
pipes de vide,1,Not coffee,oui,442379,545139
pipes en bottes,6,Not coffee,non,442379,545139
pipes muid,3,Not coffee,non,442379,545139
pipes sans émail à fumer de terre,1,Not coffee,non,442379,545139
pipes vides,25,Not coffee,non,442379,545139
pipes vieilles,2,Not coffee,non,442379,545139
pipes vieilles et vides,7,Not coffee,non,442379,545139
piphout en blocs,1,Not coffee,non,442379,545139
piques,1,Not coffee,non,442379,545139
piques de fer,1,Not coffee,non,442379,545139
pissuron,1,Not coffee,non,442379,545139
pistache,3,Not coffee,non,442379,545139
pistaches,301,Not coffee,non,442379,545139
pistaches cassées,2,Not coffee,non,442379,545139
pistaches en coques,1,Not coffee,non,442379,545139
pistaches non cassées,1,Not coffee,non,442379,545139
pistaches sèches,6,Not coffee,non,442379,545139
pistolets,99,Not coffee,non,442379,545139
pistolets à feu,1,Not coffee,non,442379,545139
pistolets d'arçon,1,Not coffee,non,442379,545139
pistolets Damas ?,1,,non,,9417
pistolets de maître,1,Not coffee,non,442379,545139
pistolets de traite,6,Not coffee,non,442379,545139
pistolets démontés,1,Not coffee,non,442379,545139
pistolets garnis d'argent,1,Not coffee,non,442379,545139
pistolets montés,1,Not coffee,non,442379,545139
pistolets par paire,1,Not coffee,non,442379,545139
pistolets vieux,1,Not coffee,non,442379,545139
pivoine,2,Not coffee,non,442379,545139
pivots de fer,9,Not coffee,non,9794,545139
plaids,2,Not coffee,non,442379,545139
plaids ou châles,1,Not coffee,non,442379,545139
plaire,5,Not coffee,non,442379,545139
plaisses et solles sec et fumés,1,Not coffee,non,442379,545139
plan d'habitation,1,Not coffee,non,442379,545139
plan de rouge d'Espagne,0,Not coffee,oui,442379,545139
plancards,1,Not coffee,non,442379,545139
planchenier,1,Not coffee,non,442379,545139
planches,44,Not coffee,non,442379,545139
planches à bâtir,1,Not coffee,non,442379,545139
planches alcalines,5,Not coffee,non,442379,545139
planches communes,6,Not coffee,non,442379,545139
planches communes de chêne et hêtre,1,Not coffee,non,442379,545139
planches communes de hêtre,1,Not coffee,non,442379,545139
planches communes de sapin,34,Not coffee,non,442379,545139
planches communes de sapin ou pin,2,Not coffee,non,442379,545139
planches communes et bois,1,Not coffee,non,442379,545139
planches d'acajou,31,Not coffee,non,442379,545139
planches d'acajou de 10 pieds,3,,non,,9417
planches d'acajou de 12 pieds,1,,non,,9417
planches d'acajou de 4 pieds,1,,non,,9417
planches d'acajou de 5 à 10 pieds,1,,non,,9417
planches d'acajou de 5 pieds,1,,non,,9417
planches d'acajou de 6 pieds,1,,non,,9417
planches d'acajou de 8 pieds,4,Not coffee,non,442379,545139
planches d'acajou de 9 pieds,1,Not coffee,non,442379,545139
planches d'arbres,4,Not coffee,non,442379,545139
planches d'ardoise,1,Not coffee,non,442379,545139
planches d'aunis,1,Not coffee,non,442379,545139
planches d'orme,2,Not coffee,non,442379,545139
planches d'orme de 80 pieds de longueur sur 3 pouces d'épaisseur,1,Not coffee,non,442379,545139
planches de 12 à 18 pieds,1,Not coffee,non,442379,545139
planches de 15 à 16 pieds,2,Not coffee,non,442379,545139
planches de 18 pieds,1,Not coffee,non,442379,545139
planches de 20 pied sur 1 pouce,1,Not coffee,non,442379,545139
planches de 24 à 30 pieds,1,Not coffee,non,442379,545139
planches de 3 à 12 pieds,1,Not coffee,non,442379,545139
planches de 3 pieds dites pakdragers,2,Not coffee,non,442379,545139
planches de 4 pieds,1,Not coffee,non,442379,545139
planches de 7 pieds,1,Not coffee,non,442379,545139
planches de 9 à 10 pieds,1,Not coffee,non,442379,545139
planches de 9 pieds,1,Not coffee,non,442379,545139
planches de bois,125,Not coffee,non,442379,545139
planches de bois blanc,1,Not coffee,non,442379,545139
planches de bois d'acajou de 10 pieds,1,,oui,,9417
planches de bois d'acajou de 4 pieds,1,,oui,,9417
planches de bois d'acajou de 5 à 10 pieds,1,,oui,,9417
planches de bois d'acajou de 8 pieds,1,,oui,,9417
planches de bois de 10 à 15 pieds,1,Not coffee,non,442379,545139
planches de bois de hêtre de 8 pieds,1,,non,,9417
planches de bois de rose,1,Not coffee,non,442379,545139
planches de bois de rose de 8 à 9 pieds,1,,non,,9417
planches de bois des Îles,1,Not coffee,non,442379,545139
planches de bois des Indes,1,Not coffee,non,442379,545139
planches de bois du Nord,7,Not coffee,non,442379,545139
planches de bois et à barils,1,Not coffee,non,442379,545139
planches de bois falquettes,2,Not coffee,non,442379,545139
planches de bois fortes,1,Not coffee,non,442379,545139
planches de bois melliaises,1,Not coffee,non,442379,545139
planches de bois minces,1,Not coffee,non,442379,545139
planches de bois pour bordage,1,Not coffee,non,442379,545139
planches de bois pour construction,3,Not coffee,non,442379,545139
planches de bois vernies,1,Not coffee,non,442379,545139
planches de charme,1,Not coffee,non,442379,545139
planches de charme de 10 pieds,1,,non,,9417
planches de châtaignier,7,Not coffee,non,442379,545139
planches de châtaignier de 16 pieds,1,Not coffee,non,442379,545139
planches de châtaignier de 5 pieds,1,,non,,9417
planches de chêne,304,Not coffee,non,442379,545139
planches de chêne 24 pieds,1,Not coffee,non,442379,545139
planches de chêne 26 pieds,1,Not coffee,non,442379,545139
planches de chêne 6 pieds,1,Not coffee,non,442379,545139
planches de chêne à 6,1,Not coffee,non,442379,545139
planches de chêne à 9,1,Not coffee,non,442379,545139
planches de chêne bouts,1,Not coffee,non,442379,545139
planches de chêne commune,14,Not coffee,non,442379,545139
planches de chêne d'un pouce et en dessous,1,Not coffee,non,442379,545139
planches de chêne de 1 1/2 pouces,2,Not coffee,non,442379,545139
planches de chêne de 1 1/4 pouces,2,Not coffee,non,442379,545139
planches de chêne de 1/2 pouce,1,Not coffee,non,442379,545139
planches de chêne de 1/4 pouce,1,Not coffee,non,442379,545139
planches de chêne de 10 12 à 14 pieds,1,Not coffee,non,442379,545139
planches de chêne de 10 à 11 pieds,2,Not coffee,non,442379,545139
planches de chêne de 10 à 12 pieds,2,Not coffee,non,442379,545139
planches de chêne de 10 à 12 pieds et de 1 pouce d'épaisseur,1,Not coffee,non,442379,545139
planches de chêne de 10 pieds,19,Not coffee,non,442379,545139
"planches de chêne de 10 pieds de long et de 0,75 pouce d'épaisseur",1,Not coffee,non,442379,545139
"planches de chêne de 10 pieds et de 0,5 pouces d'épaisseur",1,Not coffee,non,442379,545139
"planches de chêne de 10 pieds et de 0,75 pouces d'épaisseur",0,Not coffee,oui,442379,545139
planches de chêne de 11 à 12 pieds,2,Not coffee,non,442379,545139
planches de chêne de 11 pieds,2,Not coffee,non,442379,545139
planches de chêne de 11 pieds de long et de 2 pouces d'épaisseur,1,Not coffee,non,442379,545139
planches de chêne de 11 pieds et de 2 pouces d'épaisseur,0,Not coffee,oui,442379,545139
planches de chêne de 12 pieds,25,Not coffee,non,442379,545139
planches de chêne de 13 à 14 pieds,1,,non,,9417
planches de chêne de 13 pieds,2,Not coffee,non,442379,545139
planches de chêne de 14 pieds,4,Not coffee,non,442379,545139
planches de chêne de 15 à 20 pieds,1,Not coffee,non,442379,545139
planches de chêne de 15 pieds,7,Not coffee,non,442379,545139
planches de chêne de 16 pieds,3,Not coffee,non,442379,545139
planches de chêne de 18 pieds,13,Not coffee,non,442379,545139
planches de chêne de 18 pieds de long et de 1 pouce d'épaisseur,1,Not coffee,non,442379,545139
Planches de chêne de 18 pieds et de 1 pouce d'épaisseur,0,Not coffee,oui,442379,545139
"planches de chêne de 19,5 pieds de long et de 2 pouces d'épaisseur",1,Not coffee,non,442379,545139
"Planches de chêne de 19,5 pieds et de 2 pouces d'épaisseur",0,Not coffee,oui,442379,545139
planches de chêne de 2 pouces et en dessus,1,Not coffee,non,442379,545139
"planches de chêne de 2,5 pouces",2,Not coffee,non,442379,545139
planches de chêne de 20 à 30 pieds,1,,non,,9417
planches de chêne de 20 pieds,8,Not coffee,non,442379,545139
planches de chêne de 21 pieds,1,,non,,9417
planches de chêne de 22 pieds,3,Not coffee,non,442379,545139
planches de chêne de 24 pieds,2,Not coffee,non,442379,545139
planches de chêne de 25 à 30 pieds,1,,non,,9417
planches de chêne de 25 pieds,6,Not coffee,non,442379,545139
planches de chêne de 27 pieds,3,Not coffee,non,442379,545139
planches de chêne de 28 pieds,3,Not coffee,non,442379,545139
planches de chêne de 3 pouces et en dessus,1,Not coffee,non,442379,545139
planches de chêne de 30 pieds,5,Not coffee,non,442379,545139
planches de chêne de 32 pieds,3,Not coffee,non,442379,545139
planches de chêne de 35 pieds,6,Not coffee,non,442379,545139
planches de chêne de 36 pieds,2,Not coffee,non,442379,545139
planches de chêne de 38 pieds,1,Not coffee,non,442379,545139
planches de chêne de 4 pieds,1,Not coffee,non,442379,545139
planches de chêne de 4 pouces,1,Not coffee,non,442379,545139
planches de chêne de 40 pieds,4,Not coffee,non,442379,545139
planches de chêne de 42 pieds,1,Not coffee,non,442379,545139
planches de chêne de 5 pouces,1,Not coffee,non,442379,545139
planches de chêne de 6 à 7 pieds,1,,non,,9417
planches de chêne de 6 pieds,5,Not coffee,non,442379,545139
planches de chêne de 7 à 8 pieds,1,Not coffee,non,442379,545139
planches de chêne de 7 pieds,3,Not coffee,non,442379,545139
planches de chêne de 8 à 9 pieds,2,Not coffee,non,442379,545139
planches de chêne de 8 pieds,10,Not coffee,non,442379,545139
planches de chêne de 8 pieds et demi,1,Not coffee,non,442379,545139
planches de chêne de 9 à 10 pieds,4,Not coffee,non,442379,545139
planches de chêne de 9 à 12 pieds,1,Not coffee,non,442379,545139
planches de chêne de 9 pieds,8,Not coffee,non,442379,545139
planches de chêne de 9 pieds et demi,1,Not coffee,non,442379,545139
planches de chêne et planches de sapin,1,Not coffee,non,442379,545139
planches de chêne pour bordage,8,Not coffee,non,442379,545139
planches de chêne pour bordage de 21 pieds,1,Not coffee,non,442379,545139
planches de chênes de 20 pieds,1,Not coffee,non,442379,545139
planches de chênes pour bordage,1,Not coffee,non,442379,545139
planches de citronnier,1,Not coffee,non,442379,545139
planches de Copernic,0,Not coffee,oui,442379,545139
planches de Coperwick,3,Not coffee,non,442379,545139
planches de cuivre,417,Not coffee,non,442379,545139
planches de cuivre battu,1,Not coffee,non,442379,545139
planches de cuivre gravées,1,Not coffee,non,442379,545139
planches de cuivre jaune,4,Not coffee,non,442379,545139
planches de cuivre neuf,1,Not coffee,non,442379,545139
planches de cuivre rouge,20,Not coffee,non,442379,545139
planches de cyprès,2,Not coffee,non,442379,545139
planches de Danemark Prusse et Poméranie,2,Not coffee,non,442379,545139
planches de futeau,2,Not coffee,non,442379,545139
planches de hêtre,7,Not coffee,non,442379,545139
planches de hêtre de 6 pieds,2,,non,,9417
planches de jacaranda,1,Not coffee,non,442379,545139
planches de laiton,13,Not coffee,non,442379,545139
planches de laiton filé,0,Not coffee,oui,442379,545139
planches de lard,1,Not coffee,non,442379,545139
planches de liège,1,Not coffee,non,442379,545139
planches de Liège,0,Not coffee,oui,442379,545139
planches de liège petites,1,Not coffee,non,442379,545139
planches de lin,1,Not coffee,non,442379,545139
planches de Lorient,1,Not coffee,non,442379,545139
planches de merisier,1,Not coffee,non,442379,545139
planches de mûrier,1,Not coffee,non,442379,545139
